iter	Passed	Remaining
459	808	948
460	809	946
461	810	944
462	812	941
463	813	940
464	815	938
465	817	936
466	818	934
467	820	933
468	822	931
469	823	928
470	824	926
471	826	924
472	828	922
473	829	920
474	830	918
475	832	916
476	834	914
477	835	912
478	836	910
479	838	908
480	840	906
481	842	904
482	843	902
483	845	900
484	846	899
485	848	897
486	849	895
487	851	893
488	853	891
489	855	890
490	856	887
491	858	885
492	859	884
493	861	882
494	862	880
495	864	878
496	866	877
497	868	875
498	870	873
499	872	872
500	874	870
501	875	868
502	877	866
503	878	865
504	880	862
505	882	861
506	884	860
507	886	858
508	887	856
509	889	854
510	890	852
511	892	850
512	894	848
513	896	847
514	897	845
515	899	843
516	900	841
517	902	839
518	904	837
519	906	836
520	907	834
521	909	833
522	911	831
523	913	829
524	915	828
525	917	826
526	918	824
527	920	822
528	922	821
529	923	819
530	926	818
531	928	817
532	930	815
533	936	817
534	938	815
535	939	813
536	941	812
537	943	810
538	945	808
539	947	806
540	949	805
541	951	804
542	953	802
543	954	800
544	956	798
545	958	796
546	959	794
547	962	793
548	964	792
549	965	790
550	967	788
551	969	786
552	970	784
553	973	783
554	975	782
555	977	780
556	979	779
557	981	777
558	983	775
559	984	773
560	986	771
561	987	769
562	989	767
563	990	765
564	992	764
565	994	762
566	995	760
567	997	758
568	998	756
569	1000	754
570	1001	752
571	1003	750
572	1005	749
573	1006	747
574	1008	745
575	1009	742
576	1011	741
577	1012	739
578	1014	737
579	1016	735
580	1018	734
581	1019	732
582	1021	730
583	1022	728
584	1024	726
585	1026	724
586	1027	722
587	1029	721
588	1030	719
589	1032	717
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1040	707
595	1041	706
596	1043	704
597	1045	702
598	1047	701
599	1049	699
600	1051	698
601	1053	696
602	1055	694
603	1057	693
604	1059	691
605	1060	689
606	1062	688
607	1064	686
608	1065	684
609	1067	682
610	1070	681
611	1071	679
612	1073	678
613	1075	676
614	1077	674
615	1078	672
616	1080	670
617	1081	668
618	1083	666
619	1084	664
620	1086	663
621	1088	661
622	1090	659
623	1091	657
624	1093	656
625	1095	654
626	1097	652
627	1099	651
628	1101	649
629	1102	647
630	1104	646
631	1107	645
632	1109	643
633	1112	641
634	1113	640
635	1115	638
636	1116	636
637	1118	634
638	1120	633
639	1122	631
640	1124	629
641	1126	627
642	1128	626
643	1129	624
644	1131	622
645	1133	621
646	1134	619
647	1137	617
648	1138	615
649	1140	614
650	1141	612
651	1143	610
652	1145	608
653	1147	607
654	1149	605
655	1151	603
656	1153	601
657	1154	600
658	1156	598
659	1157	596
660	1159	594
661	1162	593
662	1163	591
663	1165	589
664	1166	587
665	1169	586
666	1171	584
667	1172	582
668	1174	580
669	1175	579
670	1178	577
671	1179	575
672	1181	574
673	1183	572
674	1185	570
675	1187	569
676	1190	567
677	1192	566
678	1194	564
679	1196	563
680	1198	561
681	1200	559
682	1202	557
683	1203	556
684	1205	554
685	1207	552
686	1210	551
687	1211	549
688	1214	547
689	1215	546
690	1217	544
691	1219	542
692	1221	541
693	1223	539
694	1224	537
695	1226	535
696	1229	534
697	1232	533
698	1237	532
699	1239	531
700	1241	529
701	1243	527
702	1246	526
703	1248	524
704	1250	523
705	1252	521
706	1254	519
707	1256	518
708	1261	517
709	1263	516
710	1265	514
711	1267	512
712	1269	511
713	1271	509
714	1273	507
715	1276	506
716	1278	504
717	1280	502
718	1282	501
719	1284	499
720	1286	497
721	1289	496
722	1291	494
723	1293	492
724	1295	491
725	1297	489
726	1299	488
727	1301	486
728	1304	484
729	1305	482
730	1307	481
731	1310	479
732	1311	477
733	1313	476
734	1315	474
735	1318	472
736	1320	471
737	1322	469
738	1324	467
739	1326	465
740	1328	464
741	1329	462
742	1331	460
743	1333	459
744	1336	457
745	1338	455
746	1340	453
747	1341	452
748	1343	450
749	1344	448
750	1346	446
751	1348	444
752	1349	442
753	1352	441
754	1353	439
755	1355	437
756	1357	435
757	1359	434
758	1361	432
759	1363	430
760	1365	428
761	1366	426
762	1368	425
763	1369	423
764	1371	421
765	1373	419
766	1375	417
767	1376	415
768	1378	414
769	1380	412
770	1381	410
771	1383	408
772	1385	406
773	1386	404
774	1388	403
775	1389	401
776	1391	399
777	1393	397
778	1394	395
779	1395	393
780	1397	391
781	1398	390
782	1400	388
783	1401	386
784	1403	384
785	1405	382
786	1406	380
787	1408	378
788	1410	377
789	1411	375
790	1412	373
791	1414	371
792	1415	369
793	1417	367
794	1418	365
795	1420	363
796	1421	362
797	1423	360
798	1425	358
799	1426	356
800	1428	354
801	1429	352
802	1431	351
803	1432	349
804	1434	347
805	1435	345
806	1437	343
807	1438	341
808	1439	339
809	1441	338
810	1442	336
811	1444	334
812	1445	332
813	1447	330
814	1449	328
815	1450	327
816	1452	325
817	1453	323
818	1455	321
819	1456	319
820	1458	317
821	1459	316
822	1461	314
823	1462	312
824	1464	310
825	1465	308
826	1467	306
827	1468	305
828	1470	303
829	1471	301
830	1473	299
831	1474	297
832	1475	295
833	1477	293
834	1478	292
835	1479	290
836	1481	288
837	1482	286
838	1483	284
839	1485	282
840	1486	281
841	1488	279
842	1489	277
843	1490	275
844	1492	273
845	1493	271
846	1495	270
847	1496	268
848	1498	266
849	1500	264
850	1501	262
851	1503	261
852	1505	259
853	1506	257
854	1508	255
855	1509	253
856	1511	252
857	1512	250
858	1514	248
859	1515	246
860	1517	244
861	1518	243
862	1520	241
863	1521	239
864	1522	237
865	1524	235
866	1525	234
867	1527	232
868	1528	230
869	1530	228
870	1531	226
871	1533	225
872	1534	223
873	1536	221
874	1537	219
875	1539	217
876	1540	216
877	1542	214
878	1543	212
879	1545	210
880	1546	208
881	1547	207
882	1549	205
883	1550	203
884	1552	201
885	1553	199
886	1555	198
887	1556	196
888	1558	194
889	1559	192
890	1560	190
891	1562	189
892	1563	187
893	1564	185
894	1566	183
895	1567	181
896	1569	180
897	1570	178
898	1571	176
899	1572	174
900	1574	173
901	1575	171
902	1577	169
903	1578	167
904	1579	165
905	1581	164
906	1582	162
907	1584	160
908	1585	158
909	1587	156
910	1588	155
911	1589	153
912	1591	151
913	1592	149
914	1594	148
915	1595	146
916	1596	144
917	1598	142
918	1599	140
919	1601	139
920	1602	137
921	1603	135
922	1605	133
923	1606	132
924	1608	130
925	1609	128
926	1611	126
927	1612	125
928	1614	123
929	1615	121
930	1616	119
931	1618	118
932	1620	116
933	1621	114
934	1622	112
935	1624	111
936	1626	109
937	1627	107
938	1629	105
939	1630	104
940	1632	102
941	1633	100
942	1635	98
943	1636	97
944	1637	95
945	1639	93
946	1640	91
947	1642	90
948	1643	88
949	1645	86
950	1646	84
951	1647	83
952	1649	81
953	1650	79
954	1652	77
955	1653	76
956	1654	74
957	1656	72
958	1657	70
959	1659	69
960	1660	67
961	1661	65
962	1662	63
963	1664	62
964	1665	60
965	1666	58
966	1667	56
967	1669	55
968	1671	53
969	1672	51
970	1673	49
971	1675	48
972	1676	46
973	1678	44
974	1679	43
975	1680	41
976	1681	39
977	1683	37
978	1684	36
979	1686	34
980	1687	32
981	1688	30
982	1690	29
983	1691	27
984	1692	25
985	1694	24
986	1695	22
987	1697	20
988	1698	18
989	1699	17
990	1701	15
991	1702	13
992	1704	12
993	1705	10
994	1706	8
995	1708	6
996	1710	5
997	1711	3
998	1712	1
999	1713	0
