iter	RMSE
127	4.977505835
128	4.967469596
129	4.956789287
130	4.935183967
131	4.914155278
132	4.892247741
133	4.875732066
134	4.856488561
135	4.840292083
136	4.820694568
137	4.803465945
138	4.783645617
139	4.761374371
140	4.746375234
141	4.728133941
142	4.719895216
143	4.70034398
144	4.682397913
145	4.663537012
146	4.649616848
147	4.636425363
148	4.620877923
149	4.607468183
150	4.585891283
151	4.570271449
152	4.564110011
153	4.551110293
154	4.529771096
155	4.512502435
156	4.498378806
157	4.481845693
158	4.47021342
159	4.453589632
160	4.441554122
161	4.428785691
162	4.421946295
163	4.406391172
164	4.393164328
165	4.375115287
166	4.356696244
167	4.343450036
168	4.337073337
169	4.328234527
170	4.315834197
171	4.30244598
172	4.289872325
173	4.281931908
174	4.269280102
175	4.25976901
176	4.242298505
177	4.225138906
178	4.210604323
179	4.202141186
180	4.194099893
181	4.183352424
182	4.170685364
183	4.158461117
184	4.148713587
185	4.13613915
186	4.125780285
187	4.117783123
188	4.102387382
189	4.097542938
190	4.085714814
191	4.074001993
192	4.06869897
193	4.062798553
194	4.051491581
195	4.036863288
196	4.027655164
197	4.018639715
198	4.010744582
199	4.004888692
200	3.993843322
201	3.991167379
202	3.981555208
203	3.969349756
204	3.958862056
205	3.955536662
206	3.945320579
207	3.93973365
208	3.934565089
209	3.921487467
210	3.908665479
211	3.900129196
212	3.891399026
213	3.885363595
214	3.875519833
215	3.871948878
216	3.863355177
217	3.854745507
218	3.838071923
219	3.828772118
220	3.819496228
221	3.808917218
222	3.800413611
223	3.787619527
224	3.778924244
225	3.775692184
226	3.762908927
227	3.750947916
228	3.746520886
229	3.739339247
230	3.733295192
231	3.730133892
232	3.715238506
233	3.702321348
234	3.698016353
235	3.684884327
236	3.676952221
237	3.672572284
238	3.668716507
239	3.665444701
240	3.662204468
241	3.66018092
242	3.64426414
243	3.639580402
244	3.636296869
245	3.630021442
246	3.621138429
247	3.608181964
248	3.604074763
249	3.596404757
250	3.588691722
251	3.585406407
252	3.579133901
253	3.568279021
254	3.564347743
255	3.562140573
256	3.559274134
257	3.549504904
258	3.539729794
259	3.535565533
260	3.532188228
261	3.529130387
262	3.523269023
263	3.519955113
264	3.517114151
265	3.51399134
266	3.505195008
267	3.502096213
268	3.499494641
269	3.496661452
270	3.494129624
271	3.488610698
272	3.487045501
273	3.484573408
274	3.482672424
275	3.480663248
276	3.47851674
277	3.476172636
278	3.474273873
279	3.471581532
280	3.468694586
281	3.463276476
282	3.461763593
283	3.456496702
284	3.450572713
285	3.439194615
286	3.430478915
287	3.428615423
288	3.42613566
289	3.411696967
290	3.4066419
291	3.40495065
292	3.402888079
293	3.400637787
294	3.398906352
295	3.397067517
296	3.389429834
297	3.385135293
298	3.377091126
299	3.368821835
300	3.367679996
301	3.365670814
302	3.363685772
303	3.36157593
304	3.346231195
305	3.344270529
306	3.329477732
307	3.327574568
308	3.326382395
309	3.325104174
310	3.319786706
311	3.317220413
312	3.302335015
313	3.301057508
314	3.29001353
315	3.288870806
316	3.277326815
317	3.264766539
318	3.263155449
319	3.25560443
320	3.249419511
321	3.237738917
322	3.233615895
323	3.23193265
324	3.229916051
325	3.219370312
326	3.213467979
327	3.211786557
328	3.210219783
329	3.196678322
330	3.19542708
331	3.187493672
332	3.185759145
333	3.176027494
334	3.167063055
335	3.165657168
336	3.164136588
337	3.158350959
338	3.150441188
339	3.139056366
340	3.137635357
341	3.136435064
342	3.130422751
343	3.121118349
344	3.120102593
345	3.111750632
346	3.105450431
347	3.093635748
348	3.086469325
349	3.075075189
350	3.06660017
351	3.065528719
352	3.059585053
353	3.052610351
354	3.042873749
355	3.035287087
356	3.033342836
357	3.024427083
358	3.014137419
359	3.008556183
360	2.995691736
361	2.994240009
362	2.986329481
363	2.980424989
364	2.975460905
365	2.968668231
366	2.966647296
367	2.957519525
368	2.947648632
369	2.942796891
370	2.940854437
371	2.930586219
372	2.922216095
373	2.915535147
374	2.913305548
375	2.904413337
376	2.903286262
377	2.901424191
378	2.894239809
379	2.892896208
380	2.887173803
381	2.886042808
382	2.88453111
383	2.877737427
384	2.876037397
385	2.871140353
386	2.869636178
387	2.868411512
388	2.861038989
389	2.854937551
390	2.84418882
391	2.842542997
392	2.841785306
393	2.835208552
394	2.830868936
395	2.821603004
396	2.820711381
397	2.818852146
398	2.817841426
399	2.811970771
400	2.801487085
401	2.795425424
402	2.788290029
403	2.781327033
404	2.774136966
405	2.769110248
406	2.764453495
407	2.757574778
408	2.755298327
409	2.75327618
410	2.741411108
411	2.734961374
412	2.725529129
413	2.713393954
414	2.704077616
415	2.697020217
416	2.691536273
417	2.687910695
418	2.683735814
419	2.678103344
420	2.671498531
421	2.664979124
422	2.660184809
423	2.657255125
424	2.655047804
425	2.652416467
426	2.648943009
427	2.647427324
428	2.640922054
429	2.635610269
430	2.629190107
431	2.621295136
432	2.61669681
433	2.613835597
434	2.607826278
435	2.606448883
436	2.605010598
437	2.602538983
438	2.596784288
439	2.586982726
440	2.582377322
441	2.577348786
442	2.571785413
443	2.570059129
444	2.561393204
445	2.560124017
446	2.558809271
447	2.55462279
448	2.553750583
449	2.547154105
450	2.541590749
451	2.536703947
452	2.533835678
453	2.533322947
454	2.532693593
455	2.530378097
456	2.528356623
457	2.52755139
458	2.525622717
459	2.524479643
460	2.523293109
461	2.522242308
462	2.514215597
463	2.504447384
464	2.503560914
465	2.500424931
466	2.494411406
467	2.48788847
468	2.484733914
469	2.477879489
470	2.471940661
471	2.466444273
472	2.461654436
473	2.456952419
474	2.453940534
475	2.452613158
476	2.449647764
477	2.445076153
478	2.443680412
479	2.435362632
480	2.424922052
481	2.419064934
482	2.411150884
483	2.409453069
484	2.404569609
485	2.39853232
486	2.394561072
487	2.391553692
488	2.387896191
489	2.386898913
490	2.380237506
491	2.376207779
492	2.374134328
493	2.368434378
494	2.367483208
495	2.366527122
496	2.359042842
497	2.3554072
498	2.350947208
499	2.349993075
500	2.346586009
501	2.341533806
502	2.336369368
503	2.328915701
504	2.322363949
505	2.320876053
506	2.31975103
507	2.318677831
508	2.312485922
509	2.305775932
510	2.302339074
511	2.299206105
512	2.298430102
513	2.29125939
514	2.287037103
515	2.281375657
516	2.273179794
517	2.272062315
518	2.271396575
519	2.266103074
520	2.265404994
521	2.264538464
522	2.262682558
523	2.261996147
524	2.257044248
525	2.251689373
526	2.24410124
527	2.239786273
528	2.236021038
529	2.229333118
530	2.223190167
531	2.215884885
532	2.213150187
533	2.210501752
534	2.203147919
535	2.202325319
536	2.199413614
537	2.195640191
538	2.192132671
539	2.18515409
540	2.177821418
541	2.175315834
542	2.174161132
543	2.170840326
544	2.169427482
545	2.16370144
546	2.155436338
547	2.150400376
548	2.149651633
549	2.14488946
550	2.141170722
551	2.135427837
552	2.133636398
553	2.130015511
554	2.128519151
555	2.119749014
556	2.11493988
557	2.108486947
558	2.102287621
559	2.095988833
560	2.094607914
561	2.093949683
562	2.09070538
563	2.083251737
564	2.075970635
565	2.075325683
566	2.073066223
567	2.06729042
568	2.065482079
569	2.061714647
570	2.058481619
571	2.057806663
572	2.055060293
573	2.054378477
574	2.049487199
575	2.046157962
576	2.041867505
577	2.033244312
578	2.031410542
579	2.029907898
580	2.028529676
581	2.027660495
582	2.023156637
583	2.022591085
584	2.018147612
585	2.017539865
586	2.016969859
587	2.014432035
588	2.012175819
589	2.011259612
590	2.005900894
591	2.000746935
592	2.000147084
593	1.996624539
594	1.996185848
595	1.992769477
596	1.986318839
597	1.984922055
598	1.97933161
599	1.976483541
600	1.973348002
601	1.967274825
602	1.961045428
603	1.954984919
604	1.950711011
605	1.947668612
606	1.945039759
607	1.940078685
608	1.935056196
609	1.933766798
610	1.926711927
611	1.923884768
612	1.920706449
613	1.918772484
614	1.91624868
615	1.911157373
616	1.906284751
617	1.902537946
618	1.897679313
619	1.896812371
620	1.894134595
621	1.893510964
622	1.892974886
623	1.88741022
624	1.88218719
625	1.880943213
626	1.874642201
627	1.869307674
628	1.866341055
629	1.864599546
630	1.85962704
631	1.853704922
632	1.849167576
633	1.843817742
634	1.840742978
635	1.836082298
636	1.83509443
637	1.834597772
638	1.833413909
639	1.8313628
640	1.825659067
641	1.824409651
642	1.820968946
643	1.816159827
644	1.813780028
645	1.808298363
646	1.803834202
647	1.802127602
648	1.79809742
649	1.793051634
650	1.790650338
651	1.786962527
652	1.783242975
653	1.77978846
654	1.779317148
655	1.777752455
656	1.774389272
657	1.769360813
658	1.764117279
659	1.762973482
660	1.761976426
661	1.761112763
662	1.758901095
663	1.757532482
664	1.756603238
665	1.752610896
666	1.751604273
667	1.746547028
668	1.741360681
669	1.739862707
670	1.738249802
671	1.737438319
672	1.733276451
673	1.731722077
674	1.729606978
675	1.728737933
676	1.725539006
677	1.724502833
678	1.719646999
679	1.715517489
680	1.71302587
681	1.709362373
682	1.706025111
683	1.704104032
684	1.699422375
685	1.696808877
686	1.695088149
687	1.694749174
688	1.690917538
689	1.686398452
690	1.684287087
691	1.682423677
692	1.681061602
693	1.675445662
694	1.671256877
695	1.666387018
696	1.662943206
697	1.661140627
698	1.657271447
699	1.656238238
700	1.655793063
701	1.651869082
702	1.650377526
703	1.649906638
704	1.643960425
705	1.638732908
706	1.636760599
707	1.633018335
708	1.631918296
709	1.626965836
710	1.621246262
711	1.61800769
712	1.615428459
713	1.613505218
714	1.607219228
715	1.606901528
716	1.605999642
717	1.603730969
718	1.602626084
719	1.598609477
720	1.596691846
721	1.595634887
722	1.593808494
723	1.591748472
724	1.585720031
725	1.583803179
726	1.583170572
727	1.581598379
728	1.575672987
729	1.573304225
730	1.571065442
731	1.565658984
732	1.562745947
733	1.562446312
734	1.56057897
735	1.559362986
736	1.554182518
737	1.553280274
738	1.54743268
739	1.546943375
740	1.542694929
741	1.541594326
742	1.539068421
743	1.538431304
744	1.534850851
745	1.53255851
746	1.526967361
747	1.521372414
748	1.520464489
749	1.518275667
750	1.515603018
751	1.511925255
752	1.508167406
753	1.505958136
754	1.505485465
755	1.504413205
756	1.499849483
757	1.494040528
758	1.493622781
759	1.491123874
760	1.489611551
761	1.485703837
762	1.484481228
763	1.48069118
764	1.480039974
765	1.477725848
766	1.474568388
767	1.473947062
768	1.47167988
769	1.467070607
770	1.46416445
771	1.463884333
772	1.463390602
773	1.461940102
774	1.454879337
775	1.453191611
776	1.451963362
777	1.449101408
778	1.446614719
779	1.444809396
780	1.442666982
781	1.43744515
782	1.434306221
783	1.431000558
784	1.429691624
785	1.426034318
786	1.423923768
787	1.421863239
788	1.418506304
789	1.413542126
790	1.41021527
791	1.406831149
792	1.405492017
793	1.402846751
794	1.402027098
795	1.397491246
796	1.392588112
797	1.389419595
798	1.388767242
799	1.387582062
800	1.386931709
801	1.382153364
802	1.379589436
803	1.376005329
804	1.375458813
805	1.370573796
806	1.370257805
807	1.366515601
808	1.363086242
809	1.36002598
810	1.355320456
811	1.35107432
812	1.348862333
813	1.348396871
814	1.348031298
815	1.34661686
816	1.342677267
817	1.340206203
818	1.336353902
819	1.335747972
820	1.330685669
821	1.327491208
822	1.324133761
823	1.322690539
824	1.320490362
825	1.314503716
826	1.313574354
827	1.313002535
828	1.312763703
829	1.310287043
830	1.306812461
831	1.303685008
832	1.300697037
833	1.298323644
834	1.295937115
835	1.292948165
836	1.291216259
837	1.290279773
838	1.289409204
839	1.287493232
840	1.286544784
841	1.285945181
842	1.28328206
843	1.280790758
844	1.279016059
845	1.276439423
846	1.274823449
847	1.273686298
848	1.27004668
849	1.268627235
850	1.26790783
851	1.267585778
852	1.263638889
853	1.260083779
854	1.256908036
855	1.254278021
856	1.252612462
857	1.249880892
858	1.247540333
859	1.245519909
860	1.24418609
861	1.240361331
862	1.239289319
863	1.234276965
864	1.232597242
865	1.23011389
866	1.227284863
867	1.226840678
868	1.226323476
869	1.224558653
870	1.222765842
871	1.221956351
872	1.218571044
873	1.216406615
874	1.214066957
875	1.209571329
876	1.207793283
877	1.207406144
878	1.205004158
879	1.202412013
880	1.201647287
881	1.199836013
882	1.199363011
883	1.196998548
884	1.195537935
885	1.19506388
886	1.191325669
887	1.188483655
888	1.18446642
889	1.183445168
890	1.181754474
891	1.178245898
892	1.177507445
893	1.176259868
894	1.173442275
895	1.168656206
896	1.167647955
897	1.16717568
898	1.164795923
899	1.164273256
900	1.161368203
901	1.158126488
902	1.155871787
903	1.155509677
904	1.155015956
905	1.15188719
906	1.149387801
907	1.147417968
908	1.144816616
909	1.140900582
910	1.13677585
911	1.134462547
912	1.132340864
913	1.131737534
914	1.126900213
915	1.123896714
916	1.121497265
917	1.118246596
918	1.116943743
919	1.115960618
920	1.113726947
921	1.112905153
922	1.109523092
923	1.108121871
924	1.106380752
925	1.103320007
926	1.101273806
927	1.099567368
928	1.096645109
929	1.096105741
930	1.095654899
931	1.095403235
932	1.094449746
933	1.091575066
934	1.087998084
935	1.087155426
936	1.084065483
937	1.082541742
938	1.079460104
939	1.076641716
940	1.074949545
941	1.072575872
942	1.070234062
943	1.069295501
944	1.068319802
945	1.067672516
946	1.064073037
947	1.060691687
948	1.057675234
949	1.05672532
950	1.054012607
951	1.052195416
952	1.051848252
953	1.050293175
954	1.047563737
955	1.045352876
956	1.041671931
957	1.039239862
958	1.036347371
959	1.034072539
960	1.031555827
961	1.030723708
962	1.030069995
963	1.028535072
964	1.025151964
965	1.022699975
966	1.020716506
967	1.018924303
968	1.018573468
969	1.018352105
970	1.018140444
971	1.015800522
972	1.015448552
973	1.013253387
974	1.012754077
975	1.010120463
976	1.009143553
977	1.006430455
978	1.005517666
979	1.002616627
980	0.9999562026
981	0.9996545522
982	0.9985516841
983	0.9978500786
984	0.9964243512
985	0.9939687625
986	0.9934276885
987	0.9903085288
988	0.9898269795
989	0.9862928271
990	0.9851925655
991	0.9833018531
992	0.982303829
993	0.9812001431
994	0.9779491689
995	0.9761478388
996	0.9733589086
997	0.9726999876
998	0.9707698735
999	0.9696320246
